chunk_id,document_id,company,quarter,year,document_type,chunk_type,chunk_index,start_position,end_position,token_count,contains_financial_data,section_type
BRITANNIA_Q1_2024_financial_chunk_0,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,0,0,996,249,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_1,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,1,996,1987,247,True,
BRITANNIA_Q1_2024_financial_chunk_2,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,2,1987,2978,247,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_3,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,3,2978,3977,249,True,
BRITANNIA_Q1_2024_financial_chunk_4,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,4,3977,4975,249,True,
BRITANNIA_Q1_2024_financial_chunk_5,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,5,4975,5970,248,True,
BRITANNIA_Q1_2024_financial_chunk_6,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,6,5970,6965,248,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_7,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,7,6965,7958,248,True,
BRITANNIA_Q1_2024_financial_chunk_8,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,8,7958,8952,248,True,
BRITANNIA_Q1_2024_financial_chunk_9,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,9,8952,9947,248,True,
BRITANNIA_Q1_2024_financial_chunk_10,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,10,9947,10938,247,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_11,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,11,10938,11934,248,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_12,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,12,11934,12929,248,False,
BRITANNIA_Q1_2024_financial_chunk_13,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,13,12929,13925,248,False,
BRITANNIA_Q1_2024_financial_chunk_14,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,14,13925,14921,248,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_15,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,15,14921,15914,248,False,
BRITANNIA_Q1_2024_financial_chunk_16,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,16,15914,16905,247,False,
BRITANNIA_Q1_2024_financial_chunk_17,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,17,16905,17899,248,True,financial_metrics
BRITANNIA_Q1_2024_financial_chunk_18,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,18,17899,18894,248,True,
BRITANNIA_Q1_2024_financial_chunk_19,BRITANNIA_Q1_2024_financial,BRITANNIA,Q1,2024,financial,fixed_size,19,18894,19893,249,True,
